user_a,user_b,log_retweet
AOC,LasVegasDSA,0.0
LasVegasDSA,muntel,0.0
LasVegasDSA,VP,0.0
LasVegasDSA,POTUS,0.0
LasVegasDSA,AOC,0.0
LasVegasDSA,BernieSanders,0.0
AOC,muntel,0.0
muntel,VP,0.0
muntel,POTUS,0.0
muntel,AOC,0.0
muntel,BernieSanders,0.0
AOC,VP,0.0
VP,POTUS,0.0
VP,AOC,0.0
VP,BernieSanders,0.0
AOC,POTUS,0.0
POTUS,AOC,0.0
POTUS,BernieSanders,0.0
AOC,AOC,0.0
AOC,BernieSanders,0.0
AOC,BernieSanders,0.0
AOC,MaxineWaters,0.0
MaxineWaters,AOC,0.0
AOC,AOC,0.0
AOC,Kasparov63,0.0
AOC,ninaturner,7.649692623711514
ninaturner,AOC,7.649692623711514
AOC,AOC,7.649692623711514
AOC,DesiaAllyJoseph,1.0986122886681098
AOC,AOC,0.0
AOC,ninaturner,7.649692623711514
ninaturner,AOC,7.649692623711514
AOC,AOC,7.649692623711514
AOC,MaxBlumenthal,6.520621127558696
AOC,dorashotcousin,0.0
AOC,ninaturner,0.0
ninaturner,AOC,0.0
AOC,AOC,0.0
AOC,nowthisnews,4.31748811353631
nowthisnews,AOC,4.31748811353631
AOC,AOC,4.31748811353631
AOC,Crypt0casio,0.0
Crypt0casio,jinxgotit,0.0
AOC,jinxgotit,0.0
AOC,AOC,0.0
AOC,AOC,0.0
AOC,purelypraxis,0.6931471805599453
AOC,Boabbysam,1.9459101490553132
Boabbysam,AOC,1.9459101490553132
AOC,AOC,1.9459101490553132
AOC,DSdoc97,0.0
AOC,davidsirota,5.176149732573829
AOC,YouTube,0.0
AOC,AoC_info,0.6931471805599453
AoC_info,ESFAgov,0.6931471805599453
AOC,ESFAgov,0.6931471805599453
AOC,IndependentInst,0.6931471805599453
IndependentInst,algore,0.6931471805599453
IndependentInst,AOC,0.6931471805599453
AOC,algore,0.6931471805599453
algore,AOC,0.6931471805599453
AOC,AOC,0.6931471805599453
AOC,Anniesmell_Bori,3.4965075614664802
AOC,prolebrew,0.0
AOC,nowthisnews,4.31748811353631
nowthisnews,AOC,4.31748811353631
AOC,AOC,4.31748811353631
AOC,imthemeanparent,3.828641396489095
imthemeanparent,AOC,3.828641396489095
imthemeanparent,SenSanders,3.828641396489095
imthemeanparent,ewarren,3.828641396489095
AOC,AOC,3.828641396489095
AOC,SenSanders,3.828641396489095
AOC,ewarren,3.828641396489095
AOC,SenSanders,3.828641396489095
SenSanders,ewarren,3.828641396489095
AOC,ewarren,3.828641396489095
AOC,sargentoart,0.0
sargentoart,FearTheFloof,0.0
sargentoart,AOC,0.0
AOC,FearTheFloof,0.0
FearTheFloof,AOC,0.0
AOC,AOC,0.0
AOC,FootballBunnell,1.3862943611198906
AOC,nowthisnews,4.31748811353631
nowthisnews,AOC,4.31748811353631
AOC,AOC,4.31748811353631
AOC,AoC_info,0.0
AoC_info,ofqual,0.0
AOC,ofqual,0.0
AOC,gummibear737,2.0794415416798357
AOC,CaliBerner,1.0986122886681098
CaliBerner,ninaturner,1.0986122886681098
CaliBerner,SenSanders,1.0986122886681098
CaliBerner,RoKhanna,1.0986122886681098
CaliBerner,RepCori,1.0986122886681098
CaliBerner,AOC,1.0986122886681098
AOC,ninaturner,1.0986122886681098
ninaturner,SenSanders,1.0986122886681098
ninaturner,RoKhanna,1.0986122886681098
ninaturner,RepCori,1.0986122886681098
ninaturner,AOC,1.0986122886681098
AOC,SenSanders,1.0986122886681098
SenSanders,RoKhanna,1.0986122886681098
SenSanders,RepCori,1.0986122886681098
SenSanders,AOC,1.0986122886681098
AOC,RoKhanna,1.0986122886681098
RoKhanna,RepCori,1.0986122886681098
RoKhanna,AOC,1.0986122886681098
AOC,RepCori,1.0986122886681098
RepCori,AOC,1.0986122886681098
AOC,AOC,1.0986122886681098
AOC,micahuetricht,0.0
micahuetricht,AOC,0.0
AOC,AOC,0.0
AOC,EricOfCourse,0.0
EricOfCourse,WheresMyArk_23,0.0
EricOfCourse,AOC,0.0
AOC,WheresMyArk_23,0.0
WheresMyArk_23,AOC,0.0
AOC,AOC,0.0
AOC,ESFAgov,0.6931471805599453
AOC,NickAdamsinUSA,6.981934677156389
AOC,CaliBerner,1.0986122886681098
CaliBerner,ninaturner,1.0986122886681098
CaliBerner,SenSanders,1.0986122886681098
CaliBerner,RoKhanna,1.0986122886681098
CaliBerner,RepCori,1.0986122886681098
CaliBerner,AOC,1.0986122886681098
AOC,ninaturner,1.0986122886681098
ninaturner,SenSanders,1.0986122886681098
ninaturner,RoKhanna,1.0986122886681098
ninaturner,RepCori,1.0986122886681098
ninaturner,AOC,1.0986122886681098
AOC,SenSanders,1.0986122886681098
SenSanders,RoKhanna,1.0986122886681098
SenSanders,RepCori,1.0986122886681098
SenSanders,AOC,1.0986122886681098
AOC,RoKhanna,1.0986122886681098
RoKhanna,RepCori,1.0986122886681098
RoKhanna,AOC,1.0986122886681098
AOC,RepCori,1.0986122886681098
RepCori,AOC,1.0986122886681098
AOC,AOC,1.0986122886681098
AOC,ninaturner,1.0986122886681098
ninaturner,SenSanders,1.0986122886681098
ninaturner,RoKhanna,1.0986122886681098
ninaturner,RepCori,1.0986122886681098
AOC,SenSanders,1.0986122886681098
SenSanders,RoKhanna,1.0986122886681098
SenSanders,RepCori,1.0986122886681098
AOC,RoKhanna,1.0986122886681098
RoKhanna,RepCori,1.0986122886681098
AOC,RepCori,1.0986122886681098
AOC,aseitzwald,2.6390573296152584
aseitzwald,AOC,2.6390573296152584
AOC,AOC,2.6390573296152584
AOC,yolian_ogbu,5.231108616854587
AOC,LexiForSenate,2.9444389791664403
LexiForSenate,AOC,2.9444389791664403
LexiForSenate,AyannaPressley,2.9444389791664403
AOC,AOC,2.9444389791664403
AOC,AyannaPressley,2.9444389791664403
AOC,AyannaPressley,2.9444389791664403
AOC,eclecticbrotha,0.6931471805599453
AOC,jojo26906789,0.0
jojo26906789,AOC,0.0
AOC,AOC,0.0
AOC,RealCandaceO,9.906233778204154
RealCandaceO,AOC,9.906233778204154
AOC,AOC,9.906233778204154
AOC,DenzelGarner1,0.0
DenzelGarner1,MarcWest79,0.0
DenzelGarner1,GeorgeC89720970,0.0
DenzelGarner1,morten,0.0
DenzelGarner1,RBReich,0.0
DenzelGarner1,SenSanders,0.0
DenzelGarner1,AOC,0.0
DenzelGarner1,BetoORourke,0.0
AOC,MarcWest79,0.0
MarcWest79,GeorgeC89720970,0.0
MarcWest79,morten,0.0
MarcWest79,RBReich,0.0
MarcWest79,SenSanders,0.0
MarcWest79,AOC,0.0
MarcWest79,BetoORourke,0.0
AOC,GeorgeC89720970,0.0
GeorgeC89720970,morten,0.0
GeorgeC89720970,RBReich,0.0
GeorgeC89720970,SenSanders,0.0
GeorgeC89720970,AOC,0.0
GeorgeC89720970,BetoORourke,0.0
AOC,morten,0.0
morten,RBReich,0.0
morten,SenSanders,0.0
morten,AOC,0.0
morten,BetoORourke,0.0
AOC,RBReich,0.0
RBReich,SenSanders,0.0
RBReich,AOC,0.0
RBReich,BetoORourke,0.0
AOC,SenSanders,0.0
SenSanders,AOC,0.0
SenSanders,BetoORourke,0.0
AOC,AOC,0.0
AOC,BetoORourke,0.0
