user_a,user_b,log_retweet
BernieSanders,nowayoutofhere,0.6931471805599453
BernieSanders,BarronWheelbar1,0.0
BarronWheelbar1,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,ryanobles,4.290459441148391
ryanobles,BernieSanders,4.290459441148391
BernieSanders,BernieSanders,4.290459441148391
BernieSanders,BernieSanders,0.0
BernieSanders,LaurenKGurley,4.204692619390966
LaurenKGurley,BernieSanders,4.204692619390966
LaurenKGurley,BAmazonUnion,4.204692619390966
BernieSanders,BernieSanders,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
BernieSanders,BernieSanders,0.0
BernieSanders,Twitter,0.0
BernieSanders,Ignatio28508119,0.0
Ignatio28508119,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,Ignatio28508119,0.0
Ignatio28508119,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,ggreenwald,6.340359303727752
ggreenwald,BernieSanders,6.340359303727752
BernieSanders,BernieSanders,6.340359303727752
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,ZionistColonist,0.0
ZionistColonist,Leylakhalid22,0.0
ZionistColonist,Michael__Baskin,0.0
ZionistColonist,gagne_laurent,0.0
ZionistColonist,Rochell16552885,0.0
ZionistColonist,hyderjoseph1,0.0
ZionistColonist,P3ng1z,0.0
BernieSanders,Leylakhalid22,0.0
Leylakhalid22,Michael__Baskin,0.0
Leylakhalid22,gagne_laurent,0.0
Leylakhalid22,Rochell16552885,0.0
Leylakhalid22,hyderjoseph1,0.0
Leylakhalid22,P3ng1z,0.0
BernieSanders,Michael__Baskin,0.0
Michael__Baskin,gagne_laurent,0.0
Michael__Baskin,Rochell16552885,0.0
Michael__Baskin,hyderjoseph1,0.0
Michael__Baskin,P3ng1z,0.0
BernieSanders,gagne_laurent,0.0
gagne_laurent,Rochell16552885,0.0
gagne_laurent,hyderjoseph1,0.0
gagne_laurent,P3ng1z,0.0
BernieSanders,Rochell16552885,0.0
Rochell16552885,hyderjoseph1,0.0
Rochell16552885,P3ng1z,0.0
BernieSanders,hyderjoseph1,0.0
hyderjoseph1,P3ng1z,0.0
BernieSanders,P3ng1z,0.0
BernieSanders,IvanoStellato,0.0
IvanoStellato,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,SenAngusKing,0.0
SenAngusKing,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.6931471805599453
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,NorthmanTrader,0.0
NorthmanTrader,BernieSanders,0.0
NorthmanTrader,federalreserve,0.0
NorthmanTrader,elonmusk,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,federalreserve,0.0
BernieSanders,elonmusk,0.0
BernieSanders,federalreserve,0.0
federalreserve,elonmusk,0.0
BernieSanders,elonmusk,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,CoriBush,7.089243155027514
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,OurRevolution,2.772588722239781
BernieSanders,BernieSanders,0.0
BernieSanders,JaneKim,0.0
JaneKim,CornelWest,0.0
JaneKim,mrdannyglover,0.0
JaneKim,BernieSanders,0.0
BernieSanders,CornelWest,0.0
CornelWest,mrdannyglover,0.0
CornelWest,BernieSanders,0.0
BernieSanders,mrdannyglover,0.0
mrdannyglover,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,LasVegasDSA,0.0
LasVegasDSA,muntel,0.0
LasVegasDSA,VP,0.0
LasVegasDSA,POTUS,0.0
LasVegasDSA,AOC,0.0
LasVegasDSA,BernieSanders,0.0
BernieSanders,muntel,0.0
muntel,VP,0.0
muntel,POTUS,0.0
muntel,AOC,0.0
muntel,BernieSanders,0.0
BernieSanders,VP,0.0
VP,POTUS,0.0
VP,AOC,0.0
VP,BernieSanders,0.0
BernieSanders,POTUS,0.0
POTUS,AOC,0.0
POTUS,BernieSanders,0.0
BernieSanders,AOC,0.0
AOC,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,ZionistColonist,0.0
ZionistColonist,Michael__Baskin,0.0
ZionistColonist,gagne_laurent,0.0
ZionistColonist,Rochell16552885,0.0
ZionistColonist,hyderjoseph1,0.0
ZionistColonist,P3ng1z,0.0
ZionistColonist,stscholasticas,0.0
BernieSanders,Michael__Baskin,0.0
Michael__Baskin,gagne_laurent,0.0
Michael__Baskin,Rochell16552885,0.0
Michael__Baskin,hyderjoseph1,0.0
Michael__Baskin,P3ng1z,0.0
Michael__Baskin,stscholasticas,0.0
BernieSanders,gagne_laurent,0.0
gagne_laurent,Rochell16552885,0.0
gagne_laurent,hyderjoseph1,0.0
gagne_laurent,P3ng1z,0.0
gagne_laurent,stscholasticas,0.0
BernieSanders,Rochell16552885,0.0
Rochell16552885,hyderjoseph1,0.0
Rochell16552885,P3ng1z,0.0
Rochell16552885,stscholasticas,0.0
BernieSanders,hyderjoseph1,0.0
hyderjoseph1,P3ng1z,0.0
hyderjoseph1,stscholasticas,0.0
BernieSanders,P3ng1z,0.0
P3ng1z,stscholasticas,0.0
BernieSanders,stscholasticas,0.0
BernieSanders,NavPersaud,1.0986122886681098
NavPersaud,BernieSanders,1.0986122886681098
NavPersaud,SenatorCollins,1.0986122886681098
BernieSanders,BernieSanders,1.0986122886681098
BernieSanders,SenatorCollins,1.0986122886681098
BernieSanders,SenatorCollins,1.0986122886681098
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BAmazonUnion,2.1972245773362196
BAmazonUnion,BernieSanders,2.1972245773362196
BernieSanders,BernieSanders,2.1972245773362196
BernieSanders,LaurenKGurley,4.204692619390966
LaurenKGurley,BernieSanders,4.204692619390966
LaurenKGurley,BAmazonUnion,4.204692619390966
BernieSanders,BernieSanders,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
BernieSanders,LaurenKGurley,4.204692619390966
LaurenKGurley,BernieSanders,4.204692619390966
LaurenKGurley,BAmazonUnion,4.204692619390966
BernieSanders,BernieSanders,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
BernieSanders,ZionistColonist,0.0
ZionistColonist,Leylakhalid22,0.0
ZionistColonist,Michael__Baskin,0.0
ZionistColonist,gagne_laurent,0.0
ZionistColonist,Rochell16552885,0.0
ZionistColonist,hyderjoseph1,0.0
ZionistColonist,P3ng1z,0.0
BernieSanders,Leylakhalid22,0.0
Leylakhalid22,Michael__Baskin,0.0
Leylakhalid22,gagne_laurent,0.0
Leylakhalid22,Rochell16552885,0.0
Leylakhalid22,hyderjoseph1,0.0
Leylakhalid22,P3ng1z,0.0
BernieSanders,Michael__Baskin,0.0
Michael__Baskin,gagne_laurent,0.0
Michael__Baskin,Rochell16552885,0.0
Michael__Baskin,hyderjoseph1,0.0
Michael__Baskin,P3ng1z,0.0
BernieSanders,gagne_laurent,0.0
gagne_laurent,Rochell16552885,0.0
gagne_laurent,hyderjoseph1,0.0
gagne_laurent,P3ng1z,0.0
BernieSanders,Rochell16552885,0.0
Rochell16552885,hyderjoseph1,0.0
Rochell16552885,P3ng1z,0.0
BernieSanders,hyderjoseph1,0.0
hyderjoseph1,P3ng1z,0.0
BernieSanders,P3ng1z,0.0
BernieSanders,yeselson,0.0
yeselson,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,CoriBush,7.089243155027514
BernieSanders,BAmazonUnion,2.1972245773362196
BAmazonUnion,BernieSanders,2.1972245773362196
BernieSanders,BernieSanders,2.1972245773362196
BernieSanders,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,LaurenKGurley,0.0
LaurenKGurley,BernieSanders,0.0
LaurenKGurley,BAmazonUnion,0.0
LaurenKGurley,VP,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,BAmazonUnion,0.0
BernieSanders,VP,0.0
BernieSanders,BAmazonUnion,0.0
BAmazonUnion,VP,0.0
BernieSanders,VP,0.0
BernieSanders,OurRevolution,2.772588722239781
BernieSanders,BernieSanders,0.0
BernieSanders,onefairwage,0.0
BernieSanders,onefairwage,0.0
BernieSanders,aid_smx,0.0
aid_smx,pierce,0.0
aid_smx,BernieSanders,0.0
BernieSanders,pierce,0.0
pierce,BernieSanders,0.0
BernieSanders,BernieSanders,0.0
BernieSanders,LaurenKGurley,4.204692619390966
LaurenKGurley,BernieSanders,4.204692619390966
LaurenKGurley,BAmazonUnion,4.204692619390966
BernieSanders,BernieSanders,4.204692619390966
BernieSanders,BAmazonUnion,4.204692619390966
