user_a,user_b,log_retweet
ClintSmithIII,Kijua,1.0986122886681098
ClintSmithIII,SlaughterAM,1.6094379124341003
ClintSmithIII,MitchLandrieu,0.6931471805599453
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,TheAtlantic,0.0
ClintSmithIII,TheAtlantic,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,VelvetBarstool,0.0
ClintSmithIII,VelvetBarstool,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,6.792344427470809
ClintSmithIII,Kijua,1.0986122886681098
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,SlaughterAM,1.6094379124341003
ClintSmithIII,SlaughterAM,1.6094379124341003
ClintSmithIII,SlaughterAM,1.6094379124341003
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,janecoaston,0.0
janecoaston,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,edutopia,0.0
ClintSmithIII,edutopia,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,BradfordPearson,0.0
BradfordPearson,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,GZ_Oh,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,avery_van_etten,0.0
ClintSmithIII,avery_van_etten,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,janecoaston,0.0
janecoaston,ClintSmithIII,0.0
janecoaston,CoachJim4UM,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,CoachJim4UM,0.0
ClintSmithIII,CoachJim4UM,0.0
ClintSmithIII,ClintSmithIII,0.0
ClintSmithIII,janecoaston,0.0
ClintSmithIII,janecoaston,0.0
ClintSmithIII,VelvetBarstool,0.0
