tweet_id,tweet_text,date,user_id,name,follower_count,retweet_count,user_mentions
1374734956782555142,"@atrupar Yes, because thats your go to. Those prayers seem to be patronizing the victims. Do you think God gave us https://t.co/XEFrvq58GK",03/24/2021,1254552296337354752,wendy m,29,0,"[{'screen_name': 'atrupar', 'name': 'Aaron Rupar', 'id': 288277167, 'id_str': '288277167', 'indices': [0, 8]}]"
1374734651135193097,Complicit: @tedcruz @HawleyMO @SenRonJohnson @SenateGOP @HouseGOP https://t.co/mdU8R43gVK,03/24/2021,707065399330799616,Bethany MEd,1016,0,"[{'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [11, 19]}, {'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [20, 29]}, {'screen_name': 'SenRonJohnson', 'name': 'Senator Ron Johnson', 'id': 233737858, 'id_str': '233737858', 'indices': [30, 44]}, {'screen_name': 'SenateGOP', 'name': 'Senate Republicans', 'id': 14344823, 'id_str': '14344823', 'indices': [45, 55]}, {'screen_name': 'HouseGOP', 'name': 'House Republicans', 'id': 15207668, 'id_str': '15207668', 'indices': [56, 65]}]"
1374734395395874824,Prosecutors say Oath Keepers coordinated with Proud Boys ahead of Capitol riot @TuckerCarlson @FoxNews @seanhannity https://t.co/xHAwF7lLFC,03/24/2021,18813433,Doing my part,2,0,"[{'screen_name': 'TuckerCarlson', 'name': 'Tucker Carlson', 'id': 22703645, 'id_str': '22703645', 'indices': [79, 93]}, {'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [94, 102]}, {'screen_name': 'seanhannity', 'name': 'Sean Hannity', 'id': 41634520, 'id_str': '41634520', 'indices': [103, 115]}]"
1374734369542205444,@Rosemar04770184 @humblefloret @HawleyMO @IngrahamAngle It shows 0. First 2 were deposited effortlessly. SSA and ot https://t.co/t4DtbHmB9C,03/24/2021,1083542845758222336,Karen 🌵🌻Az Blue 🐍🏜,10894,0,"[{'screen_name': 'Rosemar04770184', 'name': 'Rosemarie Carroll', 'id': 1286851283681521670, 'id_str': '1286851283681521670', 'indices': [0, 16]}, {'screen_name': 'humblefloret', 'name': '@humblefloret', 'id': 907434009440997379, 'id_str': '907434009440997379', 'indices': [17, 30]}, {'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [31, 40]}, {'screen_name': 'IngrahamAngle', 'name': 'Laura Ingraham', 'id': 50769180, 'id_str': '50769180', 'indices': [41, 55]}]"
1374734350294650883,@HawleyMO What have you done other than tweet? Maybe you could work w others and propose reasonable immigration ref https://t.co/mAeZbOviSb,03/24/2021,2347762199,Jill Voigt,7,0,"[{'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [0, 9]}]"
1374734325997010953,@GOP @SenTomCotton @govkristinoem @HawleyMO @NikkiHaley @henryolsenEPPC @marcorubio @SenRickScott @MZHemingway Henr https://t.co/by1YY3UlvT,03/24/2021,2807407275,Gary,225,0,"[{'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [0, 4]}, {'screen_name': 'SenTomCotton', 'name': 'Tom Cotton', 'id': 968650362, 'id_str': '968650362', 'indices': [5, 18]}, {'screen_name': 'govkristinoem', 'name': 'Governor Kristi Noem', 'id': 235251868, 'id_str': '235251868', 'indices': [19, 33]}, {'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [34, 43]}, {'screen_name': 'NikkiHaley', 'name': 'Nikki Haley', 'id': 1079776144524754944, 'id_str': '1079776144524754944', 'indices': [44, 55]}, {'screen_name': 'henryolsenEPPC', 'name': 'Henry Olsen', 'id': 2814778367, 'id_str': '2814778367', 'indices': [56, 71]}, {'screen_name': 'marcorubio', 'name': 'Marco Rubio', 'id': 15745368, 'id_str': '15745368', 'indices': [72, 83]}, {'screen_name': 'SenRickScott', 'name': 'Rick Scott', 'id': 131546062, 'id_str': '131546062', 'indices': [84, 97]}, {'screen_name': 'MZHemingway', 'name': 'Mollie', 'id': 18005085, 'id_str': '18005085', 'indices': [98, 110]}]"
1374734025915572225,"@HawleyMO @IngrahamAngle Despite mass shootings being a regular occurrence in this country, Josh Halwey disagrees w https://t.co/t1hdZ4orDW",03/24/2021,209310917,Anonymous Venting,93,0,"[{'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [0, 9]}, {'screen_name': 'IngrahamAngle', 'name': 'Laura Ingraham', 'id': 50769180, 'id_str': '50769180', 'indices': [10, 24]}]"
1374733149897375751,"@Road_trippn I think members of Congress,  like, 
@laurenboebert 
@SenTedCruz 
@SenJohnKennedy 
@HawleyMO 
@RepMTG https://t.co/43Xs8M8UVg",03/24/2021,781485285380984832,Ken,1272,0,"[{'screen_name': 'Road_trippn', 'name': 'Emmyjo', 'id': 853646311941451778, 'id_str': '853646311941451778', 'indices': [0, 12]}, {'screen_name': 'laurenboebert', 'name': 'Lauren Boebert', 'id': 1201670995435646976, 'id_str': '1201670995435646976', 'indices': [50, 64]}, {'screen_name': 'SenTedCruz', 'name': 'Senator Ted Cruz', 'id': 1074480192, 'id_str': '1074480192', 'indices': [66, 77]}, {'screen_name': 'SenJohnKennedy', 'name': 'John Kennedy', 'id': 816683274076614656, 'id_str': '816683274076614656', 'indices': [79, 94]}, {'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [96, 105]}, {'screen_name': 'RepMTG', 'name': 'Rep. Marjorie Taylor Greene', 'id': 1344356576786866176, 'id_str': '1344356576786866176', 'indices': [107, 114]}]"
1374732872158961667,"@IngrahamAngle @FoxNews if youre going to continue being a bunch of assholes, this is totally true. You would rath https://t.co/JwTn2dPI1I",03/24/2021,1000936331881705477,Neil Wiseman,119,0,"[{'screen_name': 'IngrahamAngle', 'name': 'Laura Ingraham', 'id': 50769180, 'id_str': '50769180', 'indices': [0, 14]}, {'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [15, 23]}]"
1374732549436669955,@shannonrwatts Theyre despicable people. @RoyBlunt @HawleyMO @SenTedCruz @GOP,03/24/2021,1066367867862564864,CallinOutRepubes,54,0,"[{'screen_name': 'shannonrwatts', 'name': 'Shannon Watts', 'id': 246939630, 'id_str': '246939630', 'indices': [0, 14]}, {'screen_name': 'RoyBlunt', 'name': 'Senator Roy Blunt', 'id': 21269970, 'id_str': '21269970', 'indices': [42, 51]}, {'screen_name': 'HawleyMO', 'name': 'Josh Hawley', 'id': 2352629311, 'id_str': '2352629311', 'indices': [52, 61]}, {'screen_name': 'SenTedCruz', 'name': 'Senator Ted Cruz', 'id': 1074480192, 'id_str': '1074480192', 'indices': [62, 73]}, {'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [74, 78]}]"
