user_a,user_b,log_retweet
HawleyMO,atrupar,0.0
HawleyMO,tedcruz,0.0
tedcruz,HawleyMO,0.0
tedcruz,SenRonJohnson,0.0
tedcruz,SenateGOP,0.0
tedcruz,HouseGOP,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,SenRonJohnson,0.0
HawleyMO,SenateGOP,0.0
HawleyMO,HouseGOP,0.0
HawleyMO,SenRonJohnson,0.0
SenRonJohnson,SenateGOP,0.0
SenRonJohnson,HouseGOP,0.0
HawleyMO,SenateGOP,0.0
SenateGOP,HouseGOP,0.0
HawleyMO,HouseGOP,0.0
HawleyMO,TuckerCarlson,0.0
TuckerCarlson,FoxNews,0.0
TuckerCarlson,seanhannity,0.0
HawleyMO,FoxNews,0.0
FoxNews,seanhannity,0.0
HawleyMO,seanhannity,0.0
HawleyMO,Rosemar04770184,0.0
Rosemar04770184,humblefloret,0.0
Rosemar04770184,HawleyMO,0.0
Rosemar04770184,IngrahamAngle,0.0
HawleyMO,humblefloret,0.0
humblefloret,HawleyMO,0.0
humblefloret,IngrahamAngle,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,GOP,0.0
GOP,SenTomCotton,0.0
GOP,govkristinoem,0.0
GOP,HawleyMO,0.0
GOP,NikkiHaley,0.0
GOP,henryolsenEPPC,0.0
GOP,marcorubio,0.0
GOP,SenRickScott,0.0
GOP,MZHemingway,0.0
HawleyMO,SenTomCotton,0.0
SenTomCotton,govkristinoem,0.0
SenTomCotton,HawleyMO,0.0
SenTomCotton,NikkiHaley,0.0
SenTomCotton,henryolsenEPPC,0.0
SenTomCotton,marcorubio,0.0
SenTomCotton,SenRickScott,0.0
SenTomCotton,MZHemingway,0.0
HawleyMO,govkristinoem,0.0
govkristinoem,HawleyMO,0.0
govkristinoem,NikkiHaley,0.0
govkristinoem,henryolsenEPPC,0.0
govkristinoem,marcorubio,0.0
govkristinoem,SenRickScott,0.0
govkristinoem,MZHemingway,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,NikkiHaley,0.0
HawleyMO,henryolsenEPPC,0.0
HawleyMO,marcorubio,0.0
HawleyMO,SenRickScott,0.0
HawleyMO,MZHemingway,0.0
HawleyMO,NikkiHaley,0.0
NikkiHaley,henryolsenEPPC,0.0
NikkiHaley,marcorubio,0.0
NikkiHaley,SenRickScott,0.0
NikkiHaley,MZHemingway,0.0
HawleyMO,henryolsenEPPC,0.0
henryolsenEPPC,marcorubio,0.0
henryolsenEPPC,SenRickScott,0.0
henryolsenEPPC,MZHemingway,0.0
HawleyMO,marcorubio,0.0
marcorubio,SenRickScott,0.0
marcorubio,MZHemingway,0.0
HawleyMO,SenRickScott,0.0
SenRickScott,MZHemingway,0.0
HawleyMO,MZHemingway,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,Road_trippn,0.0
Road_trippn,laurenboebert,0.0
Road_trippn,SenTedCruz,0.0
Road_trippn,SenJohnKennedy,0.0
Road_trippn,HawleyMO,0.0
Road_trippn,RepMTG,0.0
HawleyMO,laurenboebert,0.0
laurenboebert,SenTedCruz,0.0
laurenboebert,SenJohnKennedy,0.0
laurenboebert,HawleyMO,0.0
laurenboebert,RepMTG,0.0
HawleyMO,SenTedCruz,0.0
SenTedCruz,SenJohnKennedy,0.0
SenTedCruz,HawleyMO,0.0
SenTedCruz,RepMTG,0.0
HawleyMO,SenJohnKennedy,0.0
SenJohnKennedy,HawleyMO,0.0
SenJohnKennedy,RepMTG,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,RepMTG,0.0
HawleyMO,RepMTG,0.0
HawleyMO,IngrahamAngle,0.0
IngrahamAngle,FoxNews,0.0
HawleyMO,FoxNews,0.0
HawleyMO,shannonrwatts,0.0
shannonrwatts,RoyBlunt,0.0
shannonrwatts,HawleyMO,0.0
shannonrwatts,SenTedCruz,0.0
shannonrwatts,GOP,0.0
HawleyMO,RoyBlunt,0.0
RoyBlunt,HawleyMO,0.0
RoyBlunt,SenTedCruz,0.0
RoyBlunt,GOP,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,SenTedCruz,0.0
HawleyMO,GOP,0.0
HawleyMO,SenTedCruz,0.0
SenTedCruz,GOP,0.0
HawleyMO,GOP,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,mfstern,2.6390573296152584
mfstern,HawleyMO,2.6390573296152584
mfstern,FBI,2.6390573296152584
HawleyMO,HawleyMO,2.6390573296152584
HawleyMO,FBI,2.6390573296152584
HawleyMO,FBI,2.6390573296152584
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,RoyBlunt,0.0
HawleyMO,USRepLong,0.0
HawleyMO,RoyBlunt,0.0
RoyBlunt,USRepLong,0.0
HawleyMO,USRepLong,0.0
HawleyMO,GarrettHaake,4.2626798770413155
GarrettHaake,BetoORourke,4.2626798770413155
HawleyMO,BetoORourke,4.2626798770413155
HawleyMO,johnpavlovitz,0.0
johnpavlovitz,AVindman,0.0
johnpavlovitz,tedcruz,0.0
johnpavlovitz,HawleyMO,0.0
HawleyMO,AVindman,0.0
AVindman,tedcruz,0.0
AVindman,HawleyMO,0.0
HawleyMO,tedcruz,0.0
tedcruz,HawleyMO,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,boy_brook,0.0
boy_brook,_zach0zach,0.0
boy_brook,m63762243,0.0
boy_brook,HawleyMO,0.0
boy_brook,IngrahamAngle,0.0
HawleyMO,_zach0zach,0.0
_zach0zach,m63762243,0.0
_zach0zach,HawleyMO,0.0
_zach0zach,IngrahamAngle,0.0
HawleyMO,m63762243,0.0
m63762243,HawleyMO,0.0
m63762243,IngrahamAngle,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,DCLongIslander,0.0
DCLongIslander,HawleyMO,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,IngrahamAngle,0.0
HawleyMO,tedcruz,0.0
tedcruz,SenTedCruz,0.0
tedcruz,HawleyMO,0.0
tedcruz,RonJohnsonWI,0.0
tedcruz,marcorubio,0.0
tedcruz,laurenboebert,0.0
tedcruz,mtgreenee,0.0
tedcruz,GOP,0.0
tedcruz,GOPLeader,0.0
HawleyMO,SenTedCruz,0.0
SenTedCruz,HawleyMO,0.0
SenTedCruz,RonJohnsonWI,0.0
SenTedCruz,marcorubio,0.0
SenTedCruz,laurenboebert,0.0
SenTedCruz,mtgreenee,0.0
SenTedCruz,GOP,0.0
SenTedCruz,GOPLeader,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,RonJohnsonWI,0.0
HawleyMO,marcorubio,0.0
HawleyMO,laurenboebert,0.0
HawleyMO,mtgreenee,0.0
HawleyMO,GOP,0.0
HawleyMO,GOPLeader,0.0
HawleyMO,RonJohnsonWI,0.0
RonJohnsonWI,marcorubio,0.0
RonJohnsonWI,laurenboebert,0.0
RonJohnsonWI,mtgreenee,0.0
RonJohnsonWI,GOP,0.0
RonJohnsonWI,GOPLeader,0.0
HawleyMO,marcorubio,0.0
marcorubio,laurenboebert,0.0
marcorubio,mtgreenee,0.0
marcorubio,GOP,0.0
marcorubio,GOPLeader,0.0
HawleyMO,laurenboebert,0.0
laurenboebert,mtgreenee,0.0
laurenboebert,GOP,0.0
laurenboebert,GOPLeader,0.0
HawleyMO,mtgreenee,0.0
mtgreenee,GOP,0.0
mtgreenee,GOPLeader,0.0
HawleyMO,GOP,0.0
GOP,GOPLeader,0.0
HawleyMO,GOPLeader,0.0
HawleyMO,gregkellyusa,0.0
gregkellyusa,Twitter,0.0
gregkellyusa,TwitterSupport,0.0
gregkellyusa,TwitterSafety,0.0
gregkellyusa,FBI,0.0
HawleyMO,Twitter,0.0
Twitter,TwitterSupport,0.0
Twitter,TwitterSafety,0.0
Twitter,FBI,0.0
HawleyMO,TwitterSupport,0.0
TwitterSupport,TwitterSafety,0.0
TwitterSupport,FBI,0.0
HawleyMO,TwitterSafety,0.0
TwitterSafety,FBI,0.0
HawleyMO,FBI,0.0
HawleyMO,elizabethmaryap,0.0
elizabethmaryap,BrendaFB,0.0
elizabethmaryap,HawleyMO,0.0
HawleyMO,BrendaFB,0.0
BrendaFB,HawleyMO,0.0
HawleyMO,HawleyMO,0.0
HawleyMO,NEMOCookFan,0.0
NEMOCookFan,LindaCl32241716,0.0
