user_a,user_b,log_retweet
Jim_Jordan,JudiciaryGOP,4.836281906951478
JudiciaryGOP,Jim_Jordan,4.836281906951478
JudiciaryGOP,RepMcClintock,4.836281906951478
Jim_Jordan,Jim_Jordan,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,SeloverDoug,0.6931471805599453
SeloverDoug,Jim_Jordan,0.6931471805599453
Jim_Jordan,Jim_Jordan,0.6931471805599453
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,JeremyBlanford,2.833213344056216
JeremyBlanford,SpeakerCupp,2.833213344056216
Jim_Jordan,SpeakerCupp,2.833213344056216
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,MikeEmanuelFox,1.6094379124341003
Jim_Jordan,JudiciaryGOP,4.836281906951478
JudiciaryGOP,Jim_Jordan,4.836281906951478
JudiciaryGOP,RepMcClintock,4.836281906951478
Jim_Jordan,Jim_Jordan,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,JudiciaryGOP,4.836281906951478
JudiciaryGOP,Jim_Jordan,4.836281906951478
JudiciaryGOP,RepMcClintock,4.836281906951478
Jim_Jordan,Jim_Jordan,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,Jim_Jordan,0.0
Jim_Jordan,JudiciaryGOP,4.836281906951478
JudiciaryGOP,Jim_Jordan,4.836281906951478
JudiciaryGOP,RepMcClintock,4.836281906951478
Jim_Jordan,Jim_Jordan,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,RepMcClintock,4.836281906951478
Jim_Jordan,MikeEmanuelFox,1.6094379124341003
Jim_Jordan,KeeblrD,0.6931471805599453
KeeblrD,Jim_Jordan,0.6931471805599453
KeeblrD,Beefrick2020,0.6931471805599453
Jim_Jordan,Jim_Jordan,0.6931471805599453
Jim_Jordan,Beefrick2020,0.6931471805599453
