user_a,user_b,log_retweet
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,ddale8,0.0
ddale8,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FoxNews,0.0
LeaderMcConnell,FrankAmari2,0.0
FrankAmari2,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,TPPatriots,0.0
TPPatriots,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,Caerage,0.6931471805599453
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FoxNews,0.0
LeaderMcConnell,DanaPerino,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,FoxNews,0.0
FoxNews,DanaPerino,0.0
FoxNews,BillHemmer,0.0
LeaderMcConnell,DanaPerino,0.0
DanaPerino,BillHemmer,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FoxNews,0.0
LeaderMcConnell,DanaPerino,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,FoxNews,0.0
FoxNews,DanaPerino,0.0
FoxNews,BillHemmer,0.0
LeaderMcConnell,DanaPerino,0.0
DanaPerino,BillHemmer,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FoxNews,0.0
LeaderMcConnell,DanaPerino,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,FoxNews,0.0
FoxNews,DanaPerino,0.0
FoxNews,BillHemmer,0.0
LeaderMcConnell,DanaPerino,0.0
DanaPerino,BillHemmer,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FoxNews,0.0
LeaderMcConnell,DanaPerino,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,FoxNews,0.0
FoxNews,DanaPerino,0.0
FoxNews,BillHemmer,0.0
LeaderMcConnell,DanaPerino,0.0
DanaPerino,BillHemmer,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,fawfulfan,1.6094379124341003
fawfulfan,LeaderMcConnell,1.6094379124341003
LeaderMcConnell,LeaderMcConnell,1.6094379124341003
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FoxNews,0.0
LeaderMcConnell,DanaPerino,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,FoxNews,0.0
FoxNews,DanaPerino,0.0
FoxNews,BillHemmer,0.0
LeaderMcConnell,DanaPerino,0.0
DanaPerino,BillHemmer,0.0
LeaderMcConnell,BillHemmer,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,FrankAmari2,1.9459101490553132
FrankAmari2,LeaderMcConnell,1.9459101490553132
FrankAmari2,FoxNews,1.9459101490553132
FrankAmari2,DanaPerino,1.9459101490553132
FrankAmari2,BillHemmer,1.9459101490553132
FrankAmari2,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,FoxNews,1.9459101490553132
LeaderMcConnell,DanaPerino,1.9459101490553132
LeaderMcConnell,BillHemmer,1.9459101490553132
LeaderMcConnell,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,FoxNews,1.9459101490553132
FoxNews,DanaPerino,1.9459101490553132
FoxNews,BillHemmer,1.9459101490553132
FoxNews,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,DanaPerino,1.9459101490553132
DanaPerino,BillHemmer,1.9459101490553132
DanaPerino,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,BillHemmer,1.9459101490553132
BillHemmer,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,LeaderMcConnell,1.9459101490553132
LeaderMcConnell,SenTedCruz,0.0
SenTedCruz,McConnellPress,0.0
SenTedCruz,LeaderMcConnell,0.0
LeaderMcConnell,McConnellPress,0.0
McConnellPress,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,allonb,0.6931471805599453
allonb,AmoneyResists,0.6931471805599453
allonb,LeaderMcConnell,0.6931471805599453
LeaderMcConnell,AmoneyResists,0.6931471805599453
AmoneyResists,LeaderMcConnell,0.6931471805599453
LeaderMcConnell,LeaderMcConnell,0.6931471805599453
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,3.7612001156935624
LeaderMcConnell,LeaderMcConnell,0.0
LeaderMcConnell,LeaderMcConnell,3.7612001156935624
LeaderMcConnell,FrankAmari2,2.302585092994046
FrankAmari2,LeaderMcConnell,2.302585092994046
FrankAmari2,FoxNews,2.302585092994046
FrankAmari2,DanaPerino,2.302585092994046
FrankAmari2,BillHemmer,2.302585092994046
