user_a,user_b,log_retweet
Mike_Pence,dcexaminer,0.0
dcexaminer,KamalaHarris,0.0
dcexaminer,Mike_Pence,0.0
dcexaminer,JoeBiden,0.0
Mike_Pence,KamalaHarris,0.0
KamalaHarris,Mike_Pence,0.0
KamalaHarris,JoeBiden,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,JoeBiden,0.0
Mike_Pence,JoeBiden,0.0
Mike_Pence,b_gawk,0.0
b_gawk,BriteEyes8,0.0
b_gawk,lupash8,0.0
b_gawk,1rotc2,0.0
b_gawk,marylene58,0.0
b_gawk,PatPenn2,0.0
b_gawk,Angelaisawake,0.0
b_gawk,Jessejackie501,0.0
b_gawk,walkawayAUS,0.0
Mike_Pence,BriteEyes8,0.0
BriteEyes8,lupash8,0.0
BriteEyes8,1rotc2,0.0
BriteEyes8,marylene58,0.0
BriteEyes8,PatPenn2,0.0
BriteEyes8,Angelaisawake,0.0
BriteEyes8,Jessejackie501,0.0
BriteEyes8,walkawayAUS,0.0
Mike_Pence,lupash8,0.0
lupash8,1rotc2,0.0
lupash8,marylene58,0.0
lupash8,PatPenn2,0.0
lupash8,Angelaisawake,0.0
lupash8,Jessejackie501,0.0
lupash8,walkawayAUS,0.0
Mike_Pence,1rotc2,0.0
1rotc2,marylene58,0.0
1rotc2,PatPenn2,0.0
1rotc2,Angelaisawake,0.0
1rotc2,Jessejackie501,0.0
1rotc2,walkawayAUS,0.0
Mike_Pence,marylene58,0.0
marylene58,PatPenn2,0.0
marylene58,Angelaisawake,0.0
marylene58,Jessejackie501,0.0
marylene58,walkawayAUS,0.0
Mike_Pence,PatPenn2,0.0
PatPenn2,Angelaisawake,0.0
PatPenn2,Jessejackie501,0.0
PatPenn2,walkawayAUS,0.0
Mike_Pence,Angelaisawake,0.0
Angelaisawake,Jessejackie501,0.0
Angelaisawake,walkawayAUS,0.0
Mike_Pence,Jessejackie501,0.0
Jessejackie501,walkawayAUS,0.0
Mike_Pence,walkawayAUS,0.0
Mike_Pence,clower_leigh,0.0
clower_leigh,Mike_Pence,0.0
clower_leigh,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,KamalaHarris,0.0
KamalaHarris,Mike_Pence,0.0
KamalaHarris,JoeBiden,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,JoeBiden,0.0
Mike_Pence,JoeBiden,0.0
Mike_Pence,EmeraldRobinson,4.941642422609304
Mike_Pence,grrenshaw,0.0
grrenshaw,Mike_Pence,0.0
grrenshaw,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,brithume,4.882801922586371
Mike_Pence,Newsweek,0.0
Mike_Pence,jamespakele,0.0
jamespakele,Mike_Pence,0.0
jamespakele,millermeeks,0.0
jamespakele,SpeakerPelosi,0.0
jamespakele,TheDemocrats,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,SpeakerPelosi,0.0
Mike_Pence,TheDemocrats,0.0
Mike_Pence,millermeeks,0.0
millermeeks,SpeakerPelosi,0.0
millermeeks,TheDemocrats,0.0
Mike_Pence,SpeakerPelosi,0.0
SpeakerPelosi,TheDemocrats,0.0
Mike_Pence,TheDemocrats,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,Franklin_Graham,0.0
Mike_Pence,KarenPence,0.0
Mike_Pence,Franklin_Graham,0.0
Franklin_Graham,KarenPence,0.0
Mike_Pence,KarenPence,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,GOP,0.0
Mike_Pence,millermeeks,0.0
millermeeks,GOP,0.0
Mike_Pence,GOP,0.0
Mike_Pence,ThisMess_Ur_In,1.0986122886681098
ThisMess_Ur_In,Mike_Pence,1.0986122886681098
ThisMess_Ur_In,millermeeks,1.0986122886681098
Mike_Pence,Mike_Pence,1.0986122886681098
Mike_Pence,millermeeks,1.0986122886681098
Mike_Pence,millermeeks,1.0986122886681098
Mike_Pence,Johnny_Congress,1.3862943611198906
Johnny_Congress,moderateinga,1.3862943611198906
Johnny_Congress,Mike_Pence,1.3862943611198906
Johnny_Congress,millermeeks,1.3862943611198906
Mike_Pence,moderateinga,1.3862943611198906
moderateinga,Mike_Pence,1.3862943611198906
moderateinga,millermeeks,1.3862943611198906
Mike_Pence,Mike_Pence,1.3862943611198906
Mike_Pence,millermeeks,1.3862943611198906
Mike_Pence,millermeeks,1.3862943611198906
Mike_Pence,dcexaminer,0.0
dcexaminer,govkristinoem,0.0
dcexaminer,Mike_Pence,0.0
Mike_Pence,govkristinoem,0.0
govkristinoem,Mike_Pence,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,EmeraldRobinson,4.31748811353631
EmeraldRobinson,Heritage,4.31748811353631
Mike_Pence,Heritage,4.31748811353631
Mike_Pence,jamespakele,0.0
jamespakele,Mike_Pence,0.0
jamespakele,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,EmeraldRobinson,4.31748811353631
EmeraldRobinson,Heritage,4.31748811353631
Mike_Pence,Heritage,4.31748811353631
Mike_Pence,GabyGabysos,0.0
GabyGabysos,Mike_Pence,0.0
GabyGabysos,KellyannePolls,0.0
GabyGabysos,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,KellyannePolls,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,KellyannePolls,0.0
KellyannePolls,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,EmeraldRobinson,4.31748811353631
EmeraldRobinson,Heritage,4.31748811353631
Mike_Pence,Heritage,4.31748811353631
Mike_Pence,Alyssafarah,0.0
Alyssafarah,Mike_Pence,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,MarciaSessler,0.6931471805599453
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,emilykefinch,0.0
emilykefinch,Mike_Pence,0.0
emilykefinch,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,serena_patriot,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,DrDooleyMD,0.0
Mike_Pence,OccupyDemocrats,0.0
Mike_Pence,EmeraldRobinson,4.31748811353631
EmeraldRobinson,Heritage,4.31748811353631
Mike_Pence,Heritage,4.31748811353631
Mike_Pence,jeneppich,1.791759469228055
jeneppich,Mike_Pence,1.791759469228055
jeneppich,millermeeks,1.791759469228055
Mike_Pence,Mike_Pence,1.791759469228055
Mike_Pence,millermeeks,1.791759469228055
Mike_Pence,millermeeks,1.791759469228055
Mike_Pence,GibbsGirl65,2.995732273553991
GibbsGirl65,Mike_Pence,2.995732273553991
GibbsGirl65,millermeeks,2.995732273553991
Mike_Pence,Mike_Pence,2.995732273553991
Mike_Pence,millermeeks,2.995732273553991
Mike_Pence,millermeeks,2.995732273553991
Mike_Pence,brithume,4.882801922586371
Mike_Pence,EmeraldRobinson,4.31748811353631
EmeraldRobinson,Heritage,4.31748811353631
Mike_Pence,Heritage,4.31748811353631
Mike_Pence,FernandaFebC,2.302585092994046
FernandaFebC,Mike_Pence,2.302585092994046
FernandaFebC,millermeeks,2.302585092994046
Mike_Pence,Mike_Pence,2.302585092994046
Mike_Pence,millermeeks,2.302585092994046
Mike_Pence,millermeeks,2.302585092994046
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,transnb,0.0
Mike_Pence,Mike_Charles,0.0
Mike_Charles,Mike_Pence,0.0
Mike_Charles,millermeeks,0.0
Mike_Pence,Mike_Pence,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,millermeeks,0.0
Mike_Pence,brithume,4.882801922586371
Mike_Pence,govkristinoem,0.0
Mike_Pence,TheSGTJoker,0.0
Mike_Pence,lonniethebaxter,3.2188758248682006
lonniethebaxter,Mike_Pence,3.2188758248682006
