user_a,user_b,log_retweet
NBCNews,NBCNews,1.0986122886681098
NBCNews,NBCNews,3.258096538021482
NBCNews,NBCBLK,2.8903717578961645
NBCNews,BreakingNews,5.19295685089021
NBCNews,csiemaszko,0.0
csiemaszko,NBCNews,0.0
NBCNews,NBCNews,0.0
NBCNews,NBCNightlyNews,1.0986122886681098
NBCNews,AuntKatyAnn,0.0
AuntKatyAnn,NBCNews,0.0
NBCNews,NBCNews,0.0
NBCNews,NBCNews,4.532599493153256
NBCNews,NBCNews,1.0986122886681098
NBCNews,kylegriffin1,0.0
kylegriffin1,CherokeeNative3,0.0
kylegriffin1,NBCNews,0.0
kylegriffin1,MSNBC,0.0
NBCNews,CherokeeNative3,0.0
CherokeeNative3,NBCNews,0.0
CherokeeNative3,MSNBC,0.0
NBCNews,NBCNews,0.0
NBCNews,MSNBC,0.0
NBCNews,MSNBC,0.0
NBCNews,JamilSmith,5.583496308781699
JamilSmith,LeaderMcConnell,5.583496308781699
NBCNews,LeaderMcConnell,5.583496308781699
NBCNews,TinResistAgain,0.6931471805599453
TinResistAgain,latimesent,0.6931471805599453
NBCNews,latimesent,0.6931471805599453
NBCNews,NBCNews,0.0
NBCNews,MSNBC,4.48863636973214
NBCNews,NBCNews,3.8066624897703196
NBCNews,NBCNews,3.2188758248682006
NBCNews,NBCNews,3.6375861597263857
NBCNews,JamilSmith,5.583496308781699
JamilSmith,LeaderMcConnell,5.583496308781699
NBCNews,LeaderMcConnell,5.583496308781699
NBCNews,NBCNews,0.0
NBCNews,ManleyPeg,0.0
ManleyPeg,NBCNews,0.0
NBCNews,NBCNews,0.0
NBCNews,NBCNews,2.70805020110221
NBCNews,NBCNews,0.0
NBCNews,NBCNightlyNews,1.0986122886681098
NBCNews,Hector32z,0.0
Hector32z,NBCNews,0.0
Hector32z,TODAYshow,0.0
NBCNews,NBCNews,0.0
NBCNews,TODAYshow,0.0
NBCNews,TODAYshow,0.0
NBCNews,stopbeingaderp,3.6635616461296463
stopbeingaderp,Jim_Jordan,3.6635616461296463
NBCNews,Jim_Jordan,3.6635616461296463
NBCNews,kylegriffin1,7.00669522683704
kylegriffin1,NBCNews,7.00669522683704
NBCNews,NBCNews,7.00669522683704
NBCNews,hardknoxfirst,1.9459101490553132
hardknoxfirst,NBCNews,1.9459101490553132
NBCNews,NBCNews,1.9459101490553132
NBCNews,csiemaszko,2.5649493574615367
csiemaszko,NBCNews,2.5649493574615367
NBCNews,NBCNews,2.5649493574615367
NBCNews,NBCNews,6.39024066706535
NBCNews,IngrahamAngle,5.19295685089021
NBCNews,NBCNews,3.2188758248682006
NBCNews,NBCNews,3.2188758248682006
NBCNews,NBCAsianAmerica,2.995732273553991
NBCNews,Stonekettle,4.219507705176107
NBCNews,MSNBC,3.9512437185814275
NBCNews,NBCNews,3.258096538021482
NBCNews,NBCNews,0.0
NBCNews,NBCNews,2.70805020110221
NBCNews,TheTweetOfJohn,4.127134385045092
NBCNews,NBCNews,0.0
NBCNews,JamilSmith,5.583496308781699
JamilSmith,LeaderMcConnell,5.583496308781699
NBCNews,LeaderMcConnell,5.583496308781699
NBCNews,BreakingNews,5.19295685089021
NBCNews,laurenpeikoff,0.0
laurenpeikoff,NBCNews,0.0
NBCNews,NBCNews,0.0
NBCNews,NBCNews,0.0
NBCNews,CarrieNBCNews,4.477336814478207
NBCNews,CarrieNBCNews,4.477336814478207
NBCNews,NBCAsianAmerica,2.995732273553991
NBCNews,NBCNews,0.0
NBCNews,bluewave_elaine,1.0986122886681098
bluewave_elaine,johnalbers,1.0986122886681098
bluewave_elaine,WSJ,1.0986122886681098
bluewave_elaine,CNN,1.0986122886681098
bluewave_elaine,FoxNews,1.0986122886681098
bluewave_elaine,NBCNews,1.0986122886681098
bluewave_elaine,CBSNews,1.0986122886681098
bluewave_elaine,ABC,1.0986122886681098
bluewave_elaine,washingtonpost,1.0986122886681098
bluewave_elaine,WashTimes,1.0986122886681098
bluewave_elaine,cspanwj,1.0986122886681098
bluewave_elaine,VanityFair,1.0986122886681098
bluewave_elaine,thehill,1.0986122886681098
bluewave_elaine,nypost,1.0986122886681098
NBCNews,johnalbers,1.0986122886681098
johnalbers,WSJ,1.0986122886681098
johnalbers,CNN,1.0986122886681098
johnalbers,FoxNews,1.0986122886681098
johnalbers,NBCNews,1.0986122886681098
johnalbers,CBSNews,1.0986122886681098
johnalbers,ABC,1.0986122886681098
johnalbers,washingtonpost,1.0986122886681098
johnalbers,WashTimes,1.0986122886681098
johnalbers,cspanwj,1.0986122886681098
johnalbers,VanityFair,1.0986122886681098
johnalbers,thehill,1.0986122886681098
johnalbers,nypost,1.0986122886681098
NBCNews,WSJ,1.0986122886681098
WSJ,CNN,1.0986122886681098
WSJ,FoxNews,1.0986122886681098
WSJ,NBCNews,1.0986122886681098
WSJ,CBSNews,1.0986122886681098
WSJ,ABC,1.0986122886681098
WSJ,washingtonpost,1.0986122886681098
WSJ,WashTimes,1.0986122886681098
WSJ,cspanwj,1.0986122886681098
WSJ,VanityFair,1.0986122886681098
WSJ,thehill,1.0986122886681098
WSJ,nypost,1.0986122886681098
NBCNews,CNN,1.0986122886681098
CNN,FoxNews,1.0986122886681098
CNN,NBCNews,1.0986122886681098
CNN,CBSNews,1.0986122886681098
CNN,ABC,1.0986122886681098
CNN,washingtonpost,1.0986122886681098
CNN,WashTimes,1.0986122886681098
CNN,cspanwj,1.0986122886681098
CNN,VanityFair,1.0986122886681098
CNN,thehill,1.0986122886681098
CNN,nypost,1.0986122886681098
NBCNews,FoxNews,1.0986122886681098
FoxNews,NBCNews,1.0986122886681098
FoxNews,CBSNews,1.0986122886681098
FoxNews,ABC,1.0986122886681098
FoxNews,washingtonpost,1.0986122886681098
FoxNews,WashTimes,1.0986122886681098
FoxNews,cspanwj,1.0986122886681098
FoxNews,VanityFair,1.0986122886681098
FoxNews,thehill,1.0986122886681098
FoxNews,nypost,1.0986122886681098
NBCNews,NBCNews,1.0986122886681098
NBCNews,CBSNews,1.0986122886681098
NBCNews,ABC,1.0986122886681098
NBCNews,washingtonpost,1.0986122886681098
NBCNews,WashTimes,1.0986122886681098
NBCNews,cspanwj,1.0986122886681098
NBCNews,VanityFair,1.0986122886681098
NBCNews,thehill,1.0986122886681098
NBCNews,nypost,1.0986122886681098
NBCNews,CBSNews,1.0986122886681098
CBSNews,ABC,1.0986122886681098
CBSNews,washingtonpost,1.0986122886681098
CBSNews,WashTimes,1.0986122886681098
CBSNews,cspanwj,1.0986122886681098
CBSNews,VanityFair,1.0986122886681098
CBSNews,thehill,1.0986122886681098
CBSNews,nypost,1.0986122886681098
NBCNews,ABC,1.0986122886681098
ABC,washingtonpost,1.0986122886681098
ABC,WashTimes,1.0986122886681098
ABC,cspanwj,1.0986122886681098
ABC,VanityFair,1.0986122886681098
ABC,thehill,1.0986122886681098
ABC,nypost,1.0986122886681098
NBCNews,washingtonpost,1.0986122886681098
washingtonpost,WashTimes,1.0986122886681098
washingtonpost,cspanwj,1.0986122886681098
washingtonpost,VanityFair,1.0986122886681098
washingtonpost,thehill,1.0986122886681098
washingtonpost,nypost,1.0986122886681098
