user_a,user_b,log_retweet
POTUS,EthioHRC,0.0
EthioHRC,AbiyAhmedAli,0.0
POTUS,AbiyAhmedAli,0.0
POTUS,POTUS,7.584773077612199
POTUS,WhiteHouse,0.0
WhiteHouse,POTUS,0.0
POTUS,POTUS,0.0
POTUS,consultant_sv,0.0
consultant_sv,mkraju,0.0
consultant_sv,VP,0.0
consultant_sv,POTUS,0.0
POTUS,mkraju,0.0
mkraju,VP,0.0
mkraju,POTUS,0.0
POTUS,VP,0.0
VP,POTUS,0.0
POTUS,POTUS,0.0
POTUS,FictionMorgan,0.0
FictionMorgan,POTUS,0.0
POTUS,POTUS,0.0
POTUS,fatemeh68312558,3.2188758248682006
fatemeh68312558,AHeidarinejad,3.2188758248682006
fatemeh68312558,POTUS,3.2188758248682006
fatemeh68312558,VP,3.2188758248682006
fatemeh68312558,WhiteHouse,3.2188758248682006
fatemeh68312558,USABehFarsi,3.2188758248682006
fatemeh68312558,USEmbassyTurkey,3.2188758248682006
fatemeh68312558,USAinUAE,3.2188758248682006
fatemeh68312558,usembarmenia,3.2188758248682006
POTUS,AHeidarinejad,3.2188758248682006
AHeidarinejad,POTUS,3.2188758248682006
AHeidarinejad,VP,3.2188758248682006
AHeidarinejad,WhiteHouse,3.2188758248682006
AHeidarinejad,USABehFarsi,3.2188758248682006
AHeidarinejad,USEmbassyTurkey,3.2188758248682006
AHeidarinejad,USAinUAE,3.2188758248682006
AHeidarinejad,usembarmenia,3.2188758248682006
POTUS,POTUS,3.2188758248682006
POTUS,VP,3.2188758248682006
POTUS,WhiteHouse,3.2188758248682006
POTUS,USABehFarsi,3.2188758248682006
POTUS,USEmbassyTurkey,3.2188758248682006
POTUS,USAinUAE,3.2188758248682006
POTUS,usembarmenia,3.2188758248682006
POTUS,VP,3.2188758248682006
VP,WhiteHouse,3.2188758248682006
VP,USABehFarsi,3.2188758248682006
VP,USEmbassyTurkey,3.2188758248682006
VP,USAinUAE,3.2188758248682006
VP,usembarmenia,3.2188758248682006
POTUS,WhiteHouse,3.2188758248682006
WhiteHouse,USABehFarsi,3.2188758248682006
WhiteHouse,USEmbassyTurkey,3.2188758248682006
WhiteHouse,USAinUAE,3.2188758248682006
WhiteHouse,usembarmenia,3.2188758248682006
POTUS,USABehFarsi,3.2188758248682006
USABehFarsi,USEmbassyTurkey,3.2188758248682006
USABehFarsi,USAinUAE,3.2188758248682006
USABehFarsi,usembarmenia,3.2188758248682006
POTUS,USEmbassyTurkey,3.2188758248682006
USEmbassyTurkey,USAinUAE,3.2188758248682006
USEmbassyTurkey,usembarmenia,3.2188758248682006
POTUS,USAinUAE,3.2188758248682006
USAinUAE,usembarmenia,3.2188758248682006
POTUS,usembarmenia,3.2188758248682006
POTUS,Deborah67548660,2.9444389791664403
Deborah67548660,POTUS,2.9444389791664403
Deborah67548660,coreybking,2.9444389791664403
POTUS,POTUS,2.9444389791664403
POTUS,coreybking,2.9444389791664403
POTUS,coreybking,2.9444389791664403
POTUS,SuperDLM515,0.0
SuperDLM515,MarkJourneys,0.0
SuperDLM515,AnglinPrime,0.0
SuperDLM515,DiegoMedellinR,0.0
SuperDLM515,cnnbrk,0.0
SuperDLM515,POTUS,0.0
POTUS,MarkJourneys,0.0
MarkJourneys,AnglinPrime,0.0
MarkJourneys,DiegoMedellinR,0.0
MarkJourneys,cnnbrk,0.0
MarkJourneys,POTUS,0.0
POTUS,AnglinPrime,0.0
AnglinPrime,DiegoMedellinR,0.0
AnglinPrime,cnnbrk,0.0
AnglinPrime,POTUS,0.0
POTUS,DiegoMedellinR,0.0
DiegoMedellinR,cnnbrk,0.0
DiegoMedellinR,POTUS,0.0
POTUS,cnnbrk,0.0
cnnbrk,POTUS,0.0
POTUS,POTUS,0.0
POTUS,POTUS,0.0
POTUS,OpinionatedLab,1.9459101490553132
OpinionatedLab,POTUS,1.9459101490553132
POTUS,POTUS,1.9459101490553132
POTUS,RastaRedpill,0.0
RastaRedpill,Roshan_Rinaldi,0.0
POTUS,Roshan_Rinaldi,0.0
POTUS,POTUS,0.0
POTUS,SecBecerra,0.0
POTUS,SecBecerra,0.0
