user_a,user_b,log_retweet
RepAdamSchiff,RepAdamSchiff,0.0
RepAdamSchiff,Bleezal,0.0
Bleezal,libtards_i,0.0
Bleezal,SpellingStori,0.0
Bleezal,RepAdamSchiff,0.0
RepAdamSchiff,libtards_i,0.0
libtards_i,SpellingStori,0.0
libtards_i,RepAdamSchiff,0.0
RepAdamSchiff,SpellingStori,0.0
SpellingStori,RepAdamSchiff,0.0
RepAdamSchiff,RepAdamSchiff,0.0
RepAdamSchiff,RepAdamSchiff,0.0
RepAdamSchiff,RepAdamSchiff,0.0
RepAdamSchiff,RepAdamSchiff,0.0
RepAdamSchiff,SpeakerPelosi,0.0
RepAdamSchiff,skyco_g,1.3862943611198906
skyco_g,tedlieu,1.3862943611198906
skyco_g,POTUS,1.3862943611198906
skyco_g,VP,1.3862943611198906
skyco_g,SpeakerPelosi,1.3862943611198906
skyco_g,RepAdamSchiff,1.3862943611198906
skyco_g,HouseDemocrats,1.3862943611198906
skyco_g,SenateDems,1.3862943611198906
RepAdamSchiff,tedlieu,1.3862943611198906
tedlieu,POTUS,1.3862943611198906
tedlieu,VP,1.3862943611198906
tedlieu,SpeakerPelosi,1.3862943611198906
tedlieu,RepAdamSchiff,1.3862943611198906
tedlieu,HouseDemocrats,1.3862943611198906
tedlieu,SenateDems,1.3862943611198906
RepAdamSchiff,POTUS,1.3862943611198906
POTUS,VP,1.3862943611198906
POTUS,SpeakerPelosi,1.3862943611198906
POTUS,RepAdamSchiff,1.3862943611198906
POTUS,HouseDemocrats,1.3862943611198906
POTUS,SenateDems,1.3862943611198906
RepAdamSchiff,VP,1.3862943611198906
VP,SpeakerPelosi,1.3862943611198906
VP,RepAdamSchiff,1.3862943611198906
VP,HouseDemocrats,1.3862943611198906
VP,SenateDems,1.3862943611198906
RepAdamSchiff,SpeakerPelosi,1.3862943611198906
SpeakerPelosi,RepAdamSchiff,1.3862943611198906
SpeakerPelosi,HouseDemocrats,1.3862943611198906
SpeakerPelosi,SenateDems,1.3862943611198906
RepAdamSchiff,RepAdamSchiff,1.3862943611198906
RepAdamSchiff,HouseDemocrats,1.3862943611198906
RepAdamSchiff,SenateDems,1.3862943611198906
RepAdamSchiff,HouseDemocrats,1.3862943611198906
HouseDemocrats,SenateDems,1.3862943611198906
RepAdamSchiff,SenateDems,1.3862943611198906
