user_a,user_b,log_retweet
SethAbramson,MojaveLibby,1.3862943611198906
MojaveLibby,jacobbogage,1.3862943611198906
MojaveLibby,SethAbramson,1.3862943611198906
SethAbramson,jacobbogage,1.3862943611198906
jacobbogage,SethAbramson,1.3862943611198906
SethAbramson,SethAbramson,1.3862943611198906
SethAbramson,SethAbramson,7.984803389734406
SethAbramson,gatorgrad1951,0.0
gatorgrad1951,mycroft16,0.0
gatorgrad1951,SethAbramson,0.0
SethAbramson,mycroft16,0.0
mycroft16,SethAbramson,0.0
SethAbramson,SethAbramson,0.0
SethAbramson,LadybugOTC,0.0
LadybugOTC,MK_Salvation,0.0
LadybugOTC,SethAbramson,0.0
SethAbramson,MK_Salvation,0.0
MK_Salvation,SethAbramson,0.0
SethAbramson,SethAbramson,0.0
SethAbramson,AKNHKim,1.0986122886681098
AKNHKim,SethAbramson,1.0986122886681098
AKNHKim,ResisterSis20,1.0986122886681098
SethAbramson,SethAbramson,1.0986122886681098
SethAbramson,ResisterSis20,1.0986122886681098
SethAbramson,ResisterSis20,1.0986122886681098
SethAbramson,SethAbramson,0.0
SethAbramson,SethAbramson,7.984803389734406
SethAbramson,MojaveLibby,1.791759469228055
MojaveLibby,SethAbramson,1.791759469228055
SethAbramson,SethAbramson,1.791759469228055
SethAbramson,PlaceboDingo,0.0
PlaceboDingo,SethAbramson,0.0
SethAbramson,SethAbramson,0.0
SethAbramson,SethAbramson,7.984803389734406
SethAbramson,SethAbramson,7.984803389734406
SethAbramson,linda72135856,2.1972245773362196
linda72135856,SethAbramson,2.1972245773362196
linda72135856,DaikonForTurnip,2.1972245773362196
SethAbramson,SethAbramson,2.1972245773362196
SethAbramson,DaikonForTurnip,2.1972245773362196
SethAbramson,DaikonForTurnip,2.1972245773362196
SethAbramson,SethAbramson,4.02535169073515
SethAbramson,jacobbogage,0.0
jacobbogage,SethAbramson,0.0
SethAbramson,SethAbramson,0.0
SethAbramson,nadageek,0.0
nadageek,JustRob17,0.0
nadageek,ReverendWarnock,0.0
nadageek,SethAbramson,0.0
SethAbramson,JustRob17,0.0
JustRob17,ReverendWarnock,0.0
