user_a,user_b,log_retweet
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,tedcruz,2.772588722239781
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,tedcruz,2.772588722239781
TedCruz,DavidCornDC,0.0
DavidCornDC,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,tedcruz,2.772588722239781
TedCruz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,tedcruz,2.772588722239781
TedCruz,tedcruz,2.772588722239781
TedCruz,TheRickyDavila,4.6443908991413725
TheRickyDavila,tedcruz,4.6443908991413725
TedCruz,tedcruz,4.6443908991413725
TedCruz,Herb35274256,0.0
Herb35274256,thehill,0.0
Herb35274256,tedcruz,0.0
TedCruz,thehill,0.0
thehill,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,queenieF2013,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,queenieF2013,0.0
queenieF2013,mattgaetz,0.0
queenieF2013,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,terrym0516,0.0
terrym0516,ScottinBayV,0.0
terrym0516,tedcruz,0.0
TedCruz,ScottinBayV,0.0
ScottinBayV,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,tedcruz,2.772588722239781
TedCruz,tedcruz,2.772588722239781
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,seanhannity,0.0
seanhannity,LaraLeaTrump,0.0
seanhannity,GovRonDeSantis,0.0
seanhannity,tedcruz,0.0
seanhannity,LindseyGrahamSC,0.0
TedCruz,LaraLeaTrump,0.0
LaraLeaTrump,GovRonDeSantis,0.0
LaraLeaTrump,tedcruz,0.0
LaraLeaTrump,LindseyGrahamSC,0.0
TedCruz,GovRonDeSantis,0.0
GovRonDeSantis,tedcruz,0.0
GovRonDeSantis,LindseyGrahamSC,0.0
TedCruz,tedcruz,0.0
tedcruz,LindseyGrahamSC,0.0
TedCruz,LindseyGrahamSC,0.0
TedCruz,tedcruz,0.0
TedCruz,SFDukie,1.0986122886681098
SFDukie,tedcruz,1.0986122886681098
TedCruz,tedcruz,1.0986122886681098
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,tedcruz,2.833213344056216
TedCruz,tedcruz,0.0
TedCruz,Dan_Gill22,0.6931471805599453
Dan_Gill22,thehill,0.6931471805599453
Dan_Gill22,tedcruz,0.6931471805599453
TedCruz,thehill,0.6931471805599453
thehill,tedcruz,0.6931471805599453
TedCruz,tedcruz,0.6931471805599453
TedCruz,therecount,0.0
therecount,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,TheRickyDavila,4.6443908991413725
TheRickyDavila,tedcruz,4.6443908991413725
TedCruz,tedcruz,4.6443908991413725
TedCruz,jwalkeriv,0.0
jwalkeriv,thecactusman17,0.0
jwalkeriv,Cynic96104984,0.0
jwalkeriv,atrupar,0.0
jwalkeriv,tedcruz,0.0
jwalkeriv,SenJohnKennedy,0.0
TedCruz,thecactusman17,0.0
thecactusman17,Cynic96104984,0.0
thecactusman17,atrupar,0.0
thecactusman17,tedcruz,0.0
thecactusman17,SenJohnKennedy,0.0
TedCruz,Cynic96104984,0.0
Cynic96104984,atrupar,0.0
Cynic96104984,tedcruz,0.0
Cynic96104984,SenJohnKennedy,0.0
TedCruz,atrupar,0.0
atrupar,tedcruz,0.0
atrupar,SenJohnKennedy,0.0
TedCruz,tedcruz,0.0
tedcruz,SenJohnKennedy,0.0
TedCruz,SenJohnKennedy,0.0
TedCruz,tedcruz,2.833213344056216
TedCruz,JimKenefick,0.6931471805599453
TedCruz,RKJ65,3.2188758248682006
RKJ65,tedcruz,3.2188758248682006
TedCruz,tedcruz,3.2188758248682006
TedCruz,mdnaidu,0.0
mdnaidu,CajunBlueAZ1,0.0
mdnaidu,tedcruz,0.0
TedCruz,CajunBlueAZ1,0.0
CajunBlueAZ1,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,tedcruz,2.833213344056216
TedCruz,tedcruz,6.959398512133975
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,tedcruz,0.0
tedcruz,KenPaxtonTX,0.0
TedCruz,KenPaxtonTX,0.0
TedCruz,DavidCornDC,5.840641657373398
DavidCornDC,tedcruz,5.840641657373398
TedCruz,tedcruz,5.840641657373398
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,tedcruz,2.833213344056216
TedCruz,GOPChairwoman,0.0
GOPChairwoman,GOPLeader,0.0
TedCruz,GOPLeader,0.0
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,davidmweissman,6.023447592961033
davidmweissman,tedcruz,6.023447592961033
TedCruz,tedcruz,6.023447592961033
TedCruz,DineshDSouza,0.0
DineshDSouza,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,jeremynewberger,0.0
jeremynewberger,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,fred_guttenberg,8.019283792916793
fred_guttenberg,tedcruz,8.019283792916793
TedCruz,tedcruz,8.019283792916793
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,franella16,1.0986122886681098
franella16,thehill,1.0986122886681098
franella16,tedcruz,1.0986122886681098
TedCruz,thehill,1.0986122886681098
thehill,tedcruz,1.0986122886681098
TedCruz,tedcruz,1.0986122886681098
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,BJacksonWrites,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,BJacksonWrites,0.0
BJacksonWrites,mattgaetz,0.0
BJacksonWrites,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,last1yoususpect,2.8903717578961645
last1yoususpect,SeanFoxontheroa,2.8903717578961645
last1yoususpect,therecount,2.8903717578961645
last1yoususpect,tedcruz,2.8903717578961645
last1yoususpect,LeaderMcConnell,2.8903717578961645
last1yoususpect,GOPChairwoman,2.8903717578961645
last1yoususpect,GOP,2.8903717578961645
TedCruz,SeanFoxontheroa,2.8903717578961645
SeanFoxontheroa,therecount,2.8903717578961645
SeanFoxontheroa,tedcruz,2.8903717578961645
SeanFoxontheroa,LeaderMcConnell,2.8903717578961645
SeanFoxontheroa,GOPChairwoman,2.8903717578961645
SeanFoxontheroa,GOP,2.8903717578961645
TedCruz,therecount,2.8903717578961645
therecount,tedcruz,2.8903717578961645
therecount,LeaderMcConnell,2.8903717578961645
therecount,GOPChairwoman,2.8903717578961645
therecount,GOP,2.8903717578961645
TedCruz,tedcruz,2.8903717578961645
tedcruz,LeaderMcConnell,2.8903717578961645
tedcruz,GOPChairwoman,2.8903717578961645
tedcruz,GOP,2.8903717578961645
TedCruz,LeaderMcConnell,2.8903717578961645
LeaderMcConnell,GOPChairwoman,2.8903717578961645
LeaderMcConnell,GOP,2.8903717578961645
TedCruz,GOPChairwoman,2.8903717578961645
GOPChairwoman,GOP,2.8903717578961645
TedCruz,GOP,2.8903717578961645
TedCruz,NRA,0.0
NRA,tedcruz,0.0
NRA,mikepompeo,0.0
NRA,Jim_Jordan,0.0
NRA,BurgessOwens,0.0
NRA,markrobinsonNC,0.0
TedCruz,tedcruz,0.0
tedcruz,mikepompeo,0.0
tedcruz,Jim_Jordan,0.0
tedcruz,BurgessOwens,0.0
tedcruz,markrobinsonNC,0.0
TedCruz,mikepompeo,0.0
mikepompeo,Jim_Jordan,0.0
mikepompeo,BurgessOwens,0.0
mikepompeo,markrobinsonNC,0.0
TedCruz,Jim_Jordan,0.0
Jim_Jordan,BurgessOwens,0.0
Jim_Jordan,markrobinsonNC,0.0
TedCruz,BurgessOwens,0.0
BurgessOwens,markrobinsonNC,0.0
TedCruz,markrobinsonNC,0.0
TedCruz,riddlewinnie1,3.091042453358316
riddlewinnie1,GOP,3.091042453358316
TedCruz,GOP,3.091042453358316
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,DineshDSouza,0.0
TedCruz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
TedCruz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,Alyssa_Milano,6.311734809152915
TedCruz,DineshDSouza,0.0
DineshDSouza,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,DineshDSouza,0.0
DineshDSouza,tedcruz,0.0
TedCruz,tedcruz,0.0
TedCruz,bblock29,0.0
bblock29,tedcruz,0.0
TedCruz,tedcruz,0.0
