tweet_id,tweet_text,date,user_id,name,follower_count,retweet_count,user_mentions
1374726978759135240,"@Alyssa_Milano @mattgaetz @tedcruz Matt Gaetz caught illegally using taxpayer money AGAIN!
Gaetz used a shell compa https://t.co/xEj22SWyU9",03/24/2021,916032097327865856,Manuel de los Reyes,66,0,"[{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [0, 14]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [15, 25]}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [26, 34]}]"
1374726802069843968,@Alyssa_Milano @mattgaetz @tedcruz Gaetz scrambles after hes caught spending taxpayer funds to rent an office from https://t.co/4cRQ5URunc,03/24/2021,916032097327865856,Manuel de los Reyes,66,0,"[{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [0, 14]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [15, 25]}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [26, 34]}]"
1374726771862560770,@2024Wave @TJNbauer @Alyssa_Milano @mattgaetz @tedcruz Can you show the policy that states that?,03/24/2021,1362584479282450435,William Sugrue,1,0,"[{'screen_name': '2024Wave', 'name': 'Blue Wave 2024', 'id': 33572610, 'id_str': '33572610', 'indices': [0, 9]}, {'screen_name': 'TJNbauer', 'name': 'TJ Neubauer', 'id': 262696672, 'id_str': '262696672', 'indices': [10, 19]}, {'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [20, 34]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [35, 45]}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [46, 54]}]"
1374726680070090753,@Alyssa_Milano @mattgaetz @tedcruz Those 2 are great.,03/24/2021,1099490385422774272,T Bone Pickens,108,0,"[{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [0, 14]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [15, 25]}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [26, 34]}]"
1374726460921970695,@Alyssa_Milano @mattgaetz @tedcruz @mattgaetz @SenTedCruz are both two lost piles of on someones shoe! #TakeOutTrashNow,03/24/2021,1046221708800094208,Burg6,288,0,"[{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [0, 14]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [15, 25]}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [26, 34]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [35, 45]}, {'screen_name': 'SenTedCruz', 'name': 'Senator Ted Cruz', 'id': 1074480192, 'id_str': '1074480192', 'indices': [46, 57]}]"
1374726362565591044,RT @Jay_USMC2: @Eiggam5955 Yes we do have a lot of drunk drivers in America @SenJohnKennedy &amp; @mattgaetz is one of them. Do not down play t,03/24/2021,1924482253,CornRan 🌊💙,1894,33,"[{'screen_name': 'Jay_USMC2', 'name': ""Mexi-'Can' Marine💪🇺🇸🇲🇽(F🖕U TRUMP!)"", 'id': 827011405165559808, 'id_str': '827011405165559808', 'indices': [3, 13]}, {'screen_name': 'Eiggam5955', 'name': 'Just Elizabeth', 'id': 923578168656752641, 'id_str': '923578168656752641', 'indices': [15, 26]}, {'screen_name': 'SenJohnKennedy', 'name': 'John Kennedy', 'id': 816683274076614656, 'id_str': '816683274076614656', 'indices': [76, 91]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [98, 108]}]"
1374726193778470913,"RT @Alyssa_Milano: Thats it! I am fucking convinced!

I dont care who you are or where you come fromthere are only two kinds of people i",03/24/2021,2744002260,James Wormley,107,1074,"[{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [3, 17]}]"
1374725990627172362,@Alyssa_Milano @mattgaetz @tedcruz Powerful video exposes Matt Gaetz for using disinformation &amp; chaos 2 stay in pow https://t.co/Q72CYoCmiX,03/24/2021,916032097327865856,Manuel de los Reyes,66,0,"[{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [0, 14]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [15, 25]}, {'screen_name': 'tedcruz', 'name': 'Ted Cruz', 'id': 23022687, 'id_str': '23022687', 'indices': [26, 34]}]"
1374725631750115333,@mattgaetz @deangloster He's not your son. Stop calling him that. Formally adopt him if you want the benefit of sla https://t.co/eeACdWhsDq,03/24/2021,1276866426662502402,🆆🅸🅻🅻🅾🆆🌿🐼,172,0,"[{'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [0, 10]}, {'screen_name': 'deangloster', 'name': 'Dean Gloster', 'id': 2363290530, 'id_str': '2363290530', 'indices': [11, 23]}]"
1374725539790008330,RT @Jay_USMC2: @Eiggam5955 Yes we do have a lot of drunk drivers in America @SenJohnKennedy &amp; @mattgaetz is one of them. Do not down play t,03/24/2021,899085537243516928,Phoenix Rising,39175,33,"[{'screen_name': 'Jay_USMC2', 'name': ""Mexi-'Can' Marine💪🇺🇸🇲🇽(F🖕U TRUMP!)"", 'id': 827011405165559808, 'id_str': '827011405165559808', 'indices': [3, 13]}, {'screen_name': 'Eiggam5955', 'name': 'Just Elizabeth', 'id': 923578168656752641, 'id_str': '923578168656752641', 'indices': [15, 26]}, {'screen_name': 'SenJohnKennedy', 'name': 'John Kennedy', 'id': 816683274076614656, 'id_str': '816683274076614656', 'indices': [76, 91]}, {'screen_name': 'mattgaetz', 'name': 'Matt Gaetz', 'id': 58579942, 'id_str': '58579942', 'indices': [98, 108]}]"
