user_a,user_b,log_retweet
mattgaetz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,2024Wave,0.0
2024Wave,TJNbauer,0.0
2024Wave,Alyssa_Milano,0.0
2024Wave,mattgaetz,0.0
2024Wave,tedcruz,0.0
mattgaetz,TJNbauer,0.0
TJNbauer,Alyssa_Milano,0.0
TJNbauer,mattgaetz,0.0
TJNbauer,tedcruz,0.0
mattgaetz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,SenTedCruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,SenTedCruz,0.0
mattgaetz,tedcruz,0.0
tedcruz,mattgaetz,0.0
tedcruz,SenTedCruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,SenTedCruz,0.0
mattgaetz,SenTedCruz,0.0
mattgaetz,Jay_USMC2,3.5263605246161616
Jay_USMC2,Eiggam5955,3.5263605246161616
Jay_USMC2,SenJohnKennedy,3.5263605246161616
Jay_USMC2,mattgaetz,3.5263605246161616
mattgaetz,Eiggam5955,3.5263605246161616
Eiggam5955,SenJohnKennedy,3.5263605246161616
Eiggam5955,mattgaetz,3.5263605246161616
mattgaetz,SenJohnKennedy,3.5263605246161616
SenJohnKennedy,mattgaetz,3.5263605246161616
mattgaetz,mattgaetz,3.5263605246161616
mattgaetz,Alyssa_Milano,6.980075940561763
mattgaetz,Alyssa_Milano,0.0
Alyssa_Milano,mattgaetz,0.0
Alyssa_Milano,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,tedcruz,0.0
mattgaetz,mattgaetz,0.0
mattgaetz,deangloster,0.0
mattgaetz,deangloster,0.0
mattgaetz,Jay_USMC2,3.5263605246161616
Jay_USMC2,Eiggam5955,3.5263605246161616
Jay_USMC2,SenJohnKennedy,3.5263605246161616
Jay_USMC2,mattgaetz,3.5263605246161616
mattgaetz,Eiggam5955,3.5263605246161616
Eiggam5955,SenJohnKennedy,3.5263605246161616
Eiggam5955,mattgaetz,3.5263605246161616
mattgaetz,SenJohnKennedy,3.5263605246161616
SenJohnKennedy,mattgaetz,3.5263605246161616
